id,first_name,last_name,email,username,gender,age,birth_date,phone,cell,street,city,state,country,postcode,latitude,longitude,nationality,picture,registered_at
1,Alexander,Barrett,alexander.barrett@example.com,happylion648,male,49,1976-08-12,(359) 532-3305,(259) 340-4814,8180 Mcclellan Rd,Toledo,Ohio,United States,32519,-22.1278,-96.7926,US,https://randomuser.me/api/portraits/men/71.jpg,2012-10-26
2,Eliza,Simpson,eliza.simpson@example.com,bigbird550,female,42,1984-05-27,015394 20181,07296 719746,1040 Kingsway,Wakefield,Herefordshire,United Kingdom,O4H 7UH,-80.2740,25.4984,GB,https://randomuser.me/api/portraits/women/82.jpg,2002-07-05
3,Mariana,Caldeira,mariana.caldeira@example.com,goldenmeercat404,female,65,1961-04-21,(11) 6774-3129,(16) 2849-6678,2290 Rua Espirito Santo ,Americana,Tocantins,Brazil,74225,-81.8855,0.2659,BR,https://randomuser.me/api/portraits/women/71.jpg,2012-10-19
4,Clara,Fox,clara.fox@example.com,tinyladybug292,female,50,1976-01-01,(613) 510-5232,(616) 730-7286,9014 Bollinger Rd,Fort Wayne,Iowa,United States,10500,44.9019,-118.8839,US,https://randomuser.me/api/portraits/women/84.jpg,2009-08-23
5,Ernâni,Lopes,ernani.lopes@example.com,blueleopard322,male,42,1983-08-12,(43) 2214-1577,(10) 6881-8725,2199 Rua Piauí ,Campo Largo,Roraima,Brazil,96584,78.7530,-117.3757,BR,https://randomuser.me/api/portraits/men/14.jpg,2011-10-25
6,Philip,Ma,philip.ma@example.com,whitezebra522,male,26,1999-12-15,Q67 H03-1443,H02 E81-5330,2953 Dieppe Ave,Vanier,Nova Scotia,Canada,N8I 5V9,4.0967,168.1929,CA,https://randomuser.me/api/portraits/men/28.jpg,2011-05-28
7,Avery,Singh,avery.singh@example.com,blueswan673,female,57,1969-03-21,G60 K84-7522,D25 X13-5949,4867 Lakeview Ave,Radisson,Prince Edward Island,Canada,Q2T 6P7,50.4061,119.7166,CA,https://randomuser.me/api/portraits/women/94.jpg,2012-06-24
8,Emma,Harris,emma.harris@example.com,bluebird724,female,35,1990-11-01,V34 B34-0804,M66 Q17-1320,694 22nd Ave,Clinton,Yukon,Canada,T2P 1A9,-72.9014,134.7903,CA,https://randomuser.me/api/portraits/women/29.jpg,2012-08-23
9,Micheal,Bowman,micheal.bowman@example.com,organicfish585,male,71,1955-06-09,(721) 764-8926,(989) 791-9041,7581 Central St,El Cajon,Massachusetts,United States,50308,-57.9765,59.3580,US,https://randomuser.me/api/portraits/men/39.jpg,2016-07-10
10,Marshall,Lambert,marshall.lambert@example.com,yellowsnake503,male,38,1987-10-21,(537) 886-6036,(359) 281-9588,6197 Robinson Rd,Eugene,Indiana,United States,67233,16.2649,82.1568,US,https://randomuser.me/api/portraits/men/6.jpg,2016-06-13
11,Connie,Spencer,connie.spencer@example.com,goldenfrog202,female,43,1983-06-04,06-0286-4048,0431-686-316,7922 Dane St,Tweed,Queensland,Australia,1974,35.4824,-114.9654,AU,https://randomuser.me/api/portraits/women/6.jpg,2020-02-07
12,Isadora,da Luz,isadora.daluz@example.com,tinywolf323,female,43,1982-11-09,(88) 9480-3481,(96) 9594-6019,4034 Rua Santo Antônio ,Atibaia,Paraíba,Brazil,48016,8.2195,88.8284,BR,https://randomuser.me/api/portraits/women/60.jpg,2006-07-03
13,Logan,Rice,logan.rice@example.com,greenladybug787,male,46,1980-06-24,(882) 622-8143,(670) 968-1952,9443 W Campbell Ave,Roseburg,Virginia,United States,12080,52.8511,105.4504,US,https://randomuser.me/api/portraits/men/73.jpg,2014-04-19
14,Mathis,Singh,mathis.singh@example.com,goldenbear934,male,36,1990-06-04,D89 B50-7813,Q41 H64-8047,2652 Lakeview Ave,Lloydminster,Prince Edward Island,Canada,S6S 1B5,-30.2007,-71.9515,CA,https://randomuser.me/api/portraits/men/70.jpg,2005-01-17
